type,pts_value,pts_timescale,host_seconds,appended
video,170562280358916,1000000000,170562.29325441667,true
video,170562297025458,1000000000,170562.30052658333,true
audio,170562284209041,1000000000,170562.30858445834,true
video,170562322025500,1000000000,170562.31726533335,true
audio,170562304209083,1000000000,170562.3273355417,true
video,170562338692083,1000000000,170562.3352010417,true
audio,170562324209083,1000000000,170562.34845275,true
video,170562355358708,1000000000,170562.35256595834,true
video,170562372025166,1000000000,170562.36918495834,true
audio,170562344209083,1000000000,170562.36972179168,true
video,170562388691875,1000000000,170562.38593095835,true
audio,170562364209083,1000000000,170562.39105566667,true
video,170562405358500,1000000000,170562.40356004168,true
audio,170562384209083,1000000000,170562.41247079166,true
video,170562422024958,1000000000,170562.42136783333,true
audio,170562404209083,1000000000,170562.43380745835,true
video,170562438691666,1000000000,170562.43810158334,true
video,170562455358166,1000000000,170562.45480425,true
audio,170562424209083,1000000000,170562.455089875,true
video,170562472024750,1000000000,170562.47147016667,true
audio,170562444209083,1000000000,170562.47651725,true
video,170562488691375,1000000000,170562.48818204168,true
audio,170562464209083,1000000000,170562.49774408335,true
video,170562505357958,1000000000,170562.50495308335,true
audio,170562484209083,1000000000,170562.51915958335,true
video,170562522024583,1000000000,170562.5221470417,true
audio,170562504209041,1000000000,170562.54055241667,true
video,170562547024458,1000000000,170562.54309295834,true
video,170562563691166,1000000000,170562.560690125,true
audio,170562524209083,1000000000,170562.56176370833,true
video,170562580357625,1000000000,170562.57696791668,true
audio,170562544209083,1000000000,170562.583171125,true
video,170562597024250,1000000000,170562.593931375,true
audio,170562564209041,1000000000,170562.6044881667,true
audio,170562584209083,1000000000,170562.60454083333,true
video,170562613690958,1000000000,170562.61076070834,true
audio,170562604209083,1000000000,170562.62581583334,true
video,170562630357458,1000000000,170562.62792825,true
video,170562647024208,1000000000,170562.6451484167,true
audio,170562624209083,1000000000,170562.6470971667,true
video,170562663690708,1000000000,170562.66363291666,true
audio,170562644209083,1000000000,170562.66847941666,true
video,170562680357250,1000000000,170562.68049600002,true
audio,170562664209083,1000000000,170562.689783125,true
video,170562697023875,1000000000,170562.69714433333,true
audio,170562684209083,1000000000,170562.71113533335,true
video,170562713690458,1000000000,170562.71391766667,true
audio,170562704209083,1000000000,170562.73241416668,true
video,170562738690458,1000000000,170562.733630875,true
video,170562755356958,1000000000,170562.750511875,true
audio,170562724209083,1000000000,170562.75374933335,true
video,170562772023583,1000000000,170562.76830845836,true
audio,170562744209083,1000000000,170562.77517579167,true
video,170562788690166,1000000000,170562.78581508333,true
audio,170562764209083,1000000000,170562.79645191669,true
video,170562805356750,1000000000,170562.80289504168,true
audio,170562784209041,1000000000,170562.81777754167,true
video,170562822023375,1000000000,170562.8198575,true
video,170562838689958,1000000000,170562.83698720834,true
audio,170562804209083,1000000000,170562.83916395836,true
video,170562855356500,1000000000,170562.85389516669,true
audio,170562824209083,1000000000,170562.86054329167,true
video,170562872023125,1000000000,170562.87113275,true
audio,170562844209083,1000000000,170562.88184991668,true
video,170562888689833,1000000000,170562.88814070835,true
audio,170562864209083,1000000000,170562.90316750002,true
video,170562905356333,1000000000,170562.90490720834,true
video,170562922022916,1000000000,170562.92170904166,true
audio,170562884209083,1000000000,170562.92441158334,true
audio,170562904209083,1000000000,170562.92451633335,true
video,170562938689625,1000000000,170562.93904116668,true
audio,170562924209083,1000000000,170562.94577029167,true
video,170562955356125,1000000000,170562.95569650002,true
audio,170562944209083,1000000000,170562.967165625,true
video,170562980356000,1000000000,170562.9760632917,true
audio,170562964209083,1000000000,170562.98852775,true
video,170562997022750,1000000000,170562.9927704167,true
audio,170562984209083,1000000000,170563.00983008335,true
video,170563013689333,1000000000,170563.01052020834,true
video,170563030355833,1000000000,170563.02816504167,true
audio,170563004209041,1000000000,170563.03114995835,true
video,170563047022416,1000000000,170563.04513154167,true
audio,170563024209083,1000000000,170563.052539625,true
video,170563063689125,1000000000,170563.06210095834,true
audio,170563044209083,1000000000,170563.07381391668,true
video,170563080355625,1000000000,170563.07880225,true
audio,170563064209041,1000000000,170563.09522629168,true
video,170563097022208,1000000000,170563.09642516667,true
video,170563113688958,1000000000,170563.11326429166,true
audio,170563084209083,1000000000,170563.11647025,true
video,170563130355416,1000000000,170563.13020504167,true
audio,170563104209083,1000000000,170563.13778583336,true
video,170563147022041,1000000000,170563.14716170833,true
audio,170563124209083,1000000000,170563.15919083334,true
video,170563163688625,1000000000,170563.164021,true
audio,170563144209083,1000000000,170563.180469,true
video,170563188688625,1000000000,170563.18395070834,true
audio,170563164209083,1000000000,170563.20182025002,true
video,170563205355125,1000000000,170563.2019721667,true
video,170563222021708,1000000000,170563.21849237502,true
audio,170563184209083,1000000000,170563.22314391666,true
video,170563238688416,1000000000,170563.235288625,true
audio,170563204209083,1000000000,170563.24447529166,true
audio,170563224209083,1000000000,170563.24456275,true
video,170563255354916,1000000000,170563.25222704167,true
audio,170563244209083,1000000000,170563.26587666667,true
video,170563272021541,1000000000,170563.26889733336,true
video,170563288688125,1000000000,170563.28577854167,true
video,170563305354833,1000000000,170563.30259679168,true
audio,170563264209083,1000000000,170563.30847154168,true
video,170563322021333,1000000000,170563.3200425,true
audio,170563284209041,1000000000,170563.32976275,true
video,170563338687916,1000000000,170563.33693029167,true
audio,170563304209083,1000000000,170563.35116191668,true
video,170563355354500,1000000000,170563.35430891666,true
video,170563372021125,1000000000,170563.37190679167,true
audio,170563324209083,1000000000,170563.37239858333,true
video,170563388687833,1000000000,170563.38904112502,true
audio,170563344209083,1000000000,170563.39384329168,true
video,170563413687583,1000000000,170563.40852645834,true
audio,170563364209083,1000000000,170563.4151914167,true
audio,170563384209083,1000000000,170563.41524354168,true
video,170563430354166,1000000000,170563.42561379168,true
audio,170563404209083,1000000000,170563.43650537502,true
video,170563447020791,1000000000,170563.44224695835,true
audio,170563424209083,1000000000,170563.45779466667,true
video,170563463687375,1000000000,170563.45937420835,true
video,170563480353958,1000000000,170563.47714725,true
audio,170563444209083,1000000000,170563.479097125,true
video,170563497020583,1000000000,170563.49393595834,true
audio,170563464209083,1000000000,170563.5005370417,true
video,170563513687291,1000000000,170563.51055508334,true
audio,170563484209083,1000000000,170563.52188145835,true
video,170563530353916,1000000000,170563.527486625,true
audio,170563504209041,1000000000,170563.54317683334,true
video,170563547020375,1000000000,170563.54457679167,true
video,170563563687083,1000000000,170563.56222245833,true
audio,170563524209083,1000000000,170563.5644811667,true
video,170563580353583,1000000000,170563.57941179167,true
audio,170563544209083,1000000000,170563.58579837502,true
video,170563597020166,1000000000,170563.59690175002,true
audio,170563564209041,1000000000,170563.60713712501,true
video,170563613686875,1000000000,170563.613959125,true
audio,170563584209083,1000000000,170563.62843608335,true
video,170563638686791,1000000000,170563.63379429167,true
audio,170563604209083,1000000000,170563.649807625,true
video,170563655353291,1000000000,170563.6518139167,true
video,170563672019875,1000000000,170563.668580625,true
audio,170563624209083,1000000000,170563.6711042917,true
video,170563688686500,1000000000,170563.68540270833,true
audio,170563644209083,1000000000,170563.69244400001,true
video,170563705353083,1000000000,170563.70225587502,true
audio,170563664209083,1000000000,170563.71381975,true
video,170563722019791,1000000000,170563.71947533335,true
audio,170563684209083,1000000000,170563.73515895836,true
audio,170563704209083,1000000000,170563.73520670834,true
video,170563738686291,1000000000,170563.73617579168,true
video,170563755352875,1000000000,170563.75395545835,true
audio,170563724209083,1000000000,170563.75645233336,true
video,170563772019500,1000000000,170563.77107062502,true
audio,170563744209083,1000000000,170563.77788208335,true
video,170563788686208,1000000000,170563.78815620835,true
audio,170563764209083,1000000000,170563.79927454167,true
video,170563805352791,1000000000,170563.80516558336,true
audio,170563784209041,1000000000,170563.82039579167,true
video,170563822019291,1000000000,170563.822374375,true
video,170563838685875,1000000000,170563.83923241668,true
audio,170563804209083,1000000000,170563.84178025002,true
video,170563863685875,1000000000,170563.85930500002,true
audio,170563824209083,1000000000,170563.8631260417,true
video,170563880352500,1000000000,170563.87701354167,true
audio,170563844209083,1000000000,170563.88441158333,true
video,170563897019000,1000000000,170563.89408904169,true
audio,170563864209083,1000000000,170563.90581070835,true
video,170563913685583,1000000000,170563.9105129167,true
audio,170563884209083,1000000000,170563.92714791666,true
video,170563930352125,1000000000,170563.92725504166,true
video,170563947018750,1000000000,170563.94468116667,true
audio,170563904209083,1000000000,170563.94846908335,true
video,170563963685333,1000000000,170563.96157025002,true
audio,170563924209083,1000000000,170563.96978345833,true
video,170563980351916,1000000000,170563.97941991666,true
audio,170563944209083,1000000000,170563.99120870835,true
video,170563997018666,1000000000,170563.996870125,true
audio,170563964209083,1000000000,170564.0125002917,true
video,170564013685125,1000000000,170564.01388458334,true
video,170564030351750,1000000000,170564.03063687502,true
audio,170563984209083,1000000000,170564.03377183335,true
video,170564055351625,1000000000,170564.05129425,true
audio,170564004209041,1000000000,170564.055105875,true
audio,170564024209083,1000000000,170564.055154125,true
video,170564072018250,1000000000,170564.06895437502,true
audio,170564044209083,1000000000,170564.07642820835,true
video,170564088684833,1000000000,170564.08599916668,true
audio,170564064209041,1000000000,170564.09784275002,true
video,170564105351416,1000000000,170564.10287558334,true
audio,170564084209083,1000000000,170564.11916775,true
video,170564122018041,1000000000,170564.11985991668,true
video,170564138684625,1000000000,170564.13721395834,true
audio,170564104209083,1000000000,170564.14043133333,true
video,170564155351250,1000000000,170564.15456270834,true
audio,170564124209083,1000000000,170564.1617899167,true
video,170564172017833,1000000000,170564.17177291668,true
audio,170564144209083,1000000000,170564.18309987502,true
video,170564188684541,1000000000,170564.18873158333,true
audio,170564164209083,1000000000,170564.20440333334,true
video,170564205351041,1000000000,170564.205446625,true
video,170564222017625,1000000000,170564.22222645834,true
audio,170564184209083,1000000000,170564.22580925,true
video,170564247017541,1000000000,170564.24226083336,true
audio,170564204209083,1000000000,170564.24715670836,true
video,170564263684125,1000000000,170564.260696125,true
audio,170564224209083,1000000000,170564.26846066667,true
video,170564280350750,1000000000,170564.27748366666,true
audio,170564244209083,1000000000,170564.2897519167,true
video,170564297017333,1000000000,170564.29487620835,true
audio,170564264209083,1000000000,170564.30048845834,true
video,170564313684041,1000000000,170564.31236862502,true
audio,170564284209041,1000000000,170564.321747125,true
video,170564330350541,1000000000,170564.32917695833,true
audio,170564304209083,1000000000,170564.34322187502,true
video,170564347017125,1000000000,170564.34634395834,true
video,170564363683833,1000000000,170564.36325154168,true
audio,170564324209083,1000000000,170564.36439641667,true
video,170564380350333,1000000000,170564.38044070834,true
audio,170564344209083,1000000000,170564.38579454168,true
video,170564397016916,1000000000,170564.397149625,true
audio,170564364209083,1000000000,170564.40710054166,true
audio,170564384209083,1000000000,170564.407137375,true
video,170564422016958,1000000000,170564.416951875,true
audio,170564404209083,1000000000,170564.4284625417,true
video,170564438683541,1000000000,170564.43363404166,true
audio,170564424209083,1000000000,170564.44977216667,true
video,170564455350041,1000000000,170564.45145908336,true
video,170564472016583,1000000000,170564.46833650002,true
audio,170564444209083,1000000000,170564.47112858333,true
video,170564488683291,1000000000,170564.4850150417,true
audio,170564464209083,1000000000,170564.49245970833,true
video,170564505349791,1000000000,170564.50291858334,true
audio,170564484209083,1000000000,170564.51385608333,true
video,170564522016375,1000000000,170564.52057833335,true
audio,170564504209041,1000000000,170564.53510766668,true
video,170564538683125,1000000000,170564.53803595834,true
video,170564555349583,1000000000,170564.55544033335,true
audio,170564524209083,1000000000,170564.55643983334,true
video,170564572016208,1000000000,170564.57219425,true
audio,170564544209083,1000000000,170564.57784316668,true
video,170564597016208,1000000000,170564.59212400002,true
audio,170564564209041,1000000000,170564.5991290417,true
video,170564613682791,1000000000,170564.608784375,true
audio,170564584209083,1000000000,170564.62042670834,true
video,170564630349291,1000000000,170564.62565775,true
audio,170564604209083,1000000000,170564.6418424167,true
video,170564647015875,1000000000,170564.64243470834,true
video,170564663682500,1000000000,170564.65938691667,true
audio,170564624209083,1000000000,170564.66314166668,true
video,170564680349083,1000000000,170564.67720541666,true
audio,170564644209083,1000000000,170564.684476125,true
video,170564697015708,1000000000,170564.69429304168,true
audio,170564664209083,1000000000,170564.70584770833,true
video,170564713682291,1000000000,170564.71084804166,true
audio,170564684209083,1000000000,170564.72727125,true
audio,170564704209083,1000000000,170564.72734075002,true
video,170564730348875,1000000000,170564.727419,true
video,170564747015500,1000000000,170564.74413295835,true
audio,170564724209083,1000000000,170564.74851666667,true
video,170564763682083,1000000000,170564.76133933334,true
audio,170564744209083,1000000000,170564.76975883334,true
video,170564780348791,1000000000,170564.777972375,true
audio,170564764209083,1000000000,170564.79110825,true
video,170564797015291,1000000000,170564.79553933334,true
video,170564813681916,1000000000,170564.81218354168,true
audio,170564784209041,1000000000,170564.81238420834,true
video,170564830348500,1000000000,170564.82966004167,true
audio,170564804209083,1000000000,170564.8338285,true
