type,pts_value,pts_timescale,host_seconds,appended
video,180761828750875,1000000000,180761.84070270834,true
video,180761837084166,1000000000,180761.84473933335,true
audio,180761831158083,1000000000,180761.8550036667,true
video,180761862084083,1000000000,180761.86088395835,true
audio,180761851158083,1000000000,180761.87411766668,true
video,180761878750666,1000000000,180761.87788420834,true
video,180761895417250,1000000000,180761.89542129167,true
audio,180761871158083,1000000000,180761.89554129168,true
video,180761912083875,1000000000,180761.91226008334,true
audio,180761891158083,1000000000,180761.91670020836,true
video,180761937083750,1000000000,180761.93221304167,true
audio,180761911158083,1000000000,180761.93796775,true
video,180761953750375,1000000000,180761.95025454168,true
audio,180761931158083,1000000000,180761.95939825,true
video,180761970416958,1000000000,180761.96808445835,true
audio,180761951158083,1000000000,180761.98075033334,true
video,180761987083541,1000000000,180761.98574858333,true
audio,180761971158083,1000000000,180762.00209454168,true
video,180762003750125,1000000000,180762.00261516668,true
video,180762020416666,1000000000,180762.01979545836,true
audio,180761991158083,1000000000,180762.023388125,true
video,180762037083291,1000000000,180762.03715045835,true
audio,180762011158041,1000000000,180762.04471258333,true
video,180762053749875,1000000000,180762.05383904168,true
audio,180762031158083,1000000000,180762.06605208333,true
video,180762078749791,1000000000,180762.07314508336,true
audio,180762051158083,1000000000,180762.087356375,true
video,180762095416375,1000000000,180762.09179675,true
audio,180762071158041,1000000000,180762.10873308335,true
video,180762112083000,1000000000,180762.1097045,true
video,180762128749583,1000000000,180762.12705708336,true
audio,180762091158083,1000000000,180762.13006816668,true
video,180762145416166,1000000000,180762.14421458336,true
audio,180762111158083,1000000000,180762.1513937917,true
audio,180762131158083,1000000000,180762.15143933333,true
video,180762162082791,1000000000,180762.16143933334,true
audio,180762151158083,1000000000,180762.172765875,true
video,180762178749375,1000000000,180762.17869662502,true
audio,180762171158083,1000000000,180762.19403175,true
video,180762195415916,1000000000,180762.19553870836,true
video,180762220415875,1000000000,180762.21493945835,true
audio,180762191158083,1000000000,180762.21528200002,true
video,180762237082458,1000000000,180762.23344641668,true
audio,180762211158083,1000000000,180762.23670200002,true
video,180762253749041,1000000000,180762.2501925417,true
audio,180762231158083,1000000000,180762.25804925,true
video,180762270415625,1000000000,180762.268040625,true
audio,180762251158083,1000000000,180762.27939220835,true
video,180762287082250,1000000000,180762.28608445835,true
audio,180762271158083,1000000000,180762.30074791668,true
video,180762303748833,1000000000,180762.30274420834,true
video,180762320415458,1000000000,180762.3199702917,true
audio,180762291158041,1000000000,180762.32199729167,true
video,180762337082000,1000000000,180762.3371315,true
audio,180762311158083,1000000000,180762.3433315417,true
video,180762353748625,1000000000,180762.35415779168,true
audio,180762331158083,1000000000,180762.3647050417,true
video,180762378748500,1000000000,180762.37476370836,true
audio,180762351158083,1000000000,180762.38610250002,true
video,180762395415083,1000000000,180762.391712375,true
audio,180762371158083,1000000000,180762.40740445835,true
video,180762412081708,1000000000,180762.40856462502,true
video,180762428748291,1000000000,180762.42521175,true
audio,180762391158083,1000000000,180762.4286994167,true
video,180762445414875,1000000000,180762.4428985,true
audio,180762411158083,1000000000,180762.45008283335,true
video,180762462081458,1000000000,180762.460644625,true
audio,180762431158083,1000000000,180762.47141891668,true
audio,180762451158083,1000000000,180762.471452375,true
video,180762478748083,1000000000,180762.47821391668,true
audio,180762471158083,1000000000,180762.49272995835,true
video,180762495414708,1000000000,180762.49502125,true
video,180762512081250,1000000000,180762.51259441668,true
audio,180762491158083,1000000000,180762.51399562502,true
video,180762537081166,1000000000,180762.53084050003,true
audio,180762511158041,1000000000,180762.53539279167,true
audio,180762531158083,1000000000,180762.55669275002,true
video,180762570414250,1000000000,180762.56466912501,true
audio,180762551158083,1000000000,180762.578040625,true
audio,180762571158041,1000000000,180762.59934775002,true
audio,180762591158083,1000000000,180762.62067583334,true
audio,180762611158083,1000000000,180762.6420465,true
audio,180762631158083,1000000000,180762.663368625,true
audio,180762651158083,1000000000,180762.68469362502,true
audio,180762671158083,1000000000,180762.70610116667,true
video,180762712080166,1000000000,180762.70723083333,true
video,180762728747000,1000000000,180762.72584733335,true
audio,180762691158083,1000000000,180762.72730016668,true
video,180762737080291,1000000000,180762.74330287502,true
audio,180762711158083,1000000000,180762.748706125,true
video,180762762080125,1000000000,180762.76039533335,true
audio,180762731158083,1000000000,180762.77009225002,true
video,180762778746791,1000000000,180762.77765587502,true
audio,180762751158083,1000000000,180762.79140783334,true
audio,180762771158083,1000000000,180762.79145566668,true
video,180762795413375,1000000000,180762.7945565,true
video,180762812079958,1000000000,180762.81185650002,true
audio,180762791158041,1000000000,180762.81266116668,true
video,180762828746583,1000000000,180762.82906591668,true
video,180762845413125,1000000000,180762.84580604167,true
audio,180762811158083,1000000000,180762.85542166667,true
video,180762870413083,1000000000,180762.86563604168,true
audio,180762831158083,1000000000,180762.87681270833,true
video,180762887079625,1000000000,180762.88270041667,true
audio,180762851158083,1000000000,180762.89804533334,true
video,180762903746250,1000000000,180762.9005335417,true
video,180762920412833,1000000000,180762.91811041668,true
audio,180762871158083,1000000000,180762.9193155417,true
video,180762937079416,1000000000,180762.93502941667,true
audio,180762891158083,1000000000,180762.9407424167,true
video,180762953746041,1000000000,180762.95237191668,true
audio,180762911158083,1000000000,180762.96205687503,true
audio,180762931158083,1000000000,180762.96209504167,true
video,180762970412583,1000000000,180762.96914583334,true
audio,180762951158083,1000000000,180762.98341895835,true
video,180762987079208,1000000000,180762.98653245834,true
video,180763003745791,1000000000,180763.00357120833,true
audio,180762971158083,1000000000,180763.00470908335,true
video,180763020412375,1000000000,180763.02046279167,true
audio,180762991158083,1000000000,180763.02605670833,true
video,180763037079000,1000000000,180763.03730841668,true
audio,180763011158041,1000000000,180763.04740841666,true
video,180763053745583,1000000000,180763.054133625,true
audio,180763031158083,1000000000,180763.06881316667,true
video,180763078745500,1000000000,180763.07423066668,true
audio,180763051158083,1000000000,180763.09007020833,true
video,180763095412083,1000000000,180763.09096687502,true
video,180763112078666,1000000000,180763.10873266667,true
audio,180763071158041,1000000000,180763.11135245833,true
video,180763128745250,1000000000,180763.1266109167,true
audio,180763091158083,1000000000,180763.13274329167,true
video,180763145411791,1000000000,180763.14322395835,true
audio,180763111158083,1000000000,180763.15403083334,true
video,180763162078416,1000000000,180763.160951375,true
audio,180763131158083,1000000000,180763.17539195836,true
video,180763178745000,1000000000,180763.1777385,true
video,180763195411583,1000000000,180763.194858125,true
audio,180763151158083,1000000000,180763.19667583334,true
video,180763212078208,1000000000,180763.2123185417,true
audio,180763171158083,1000000000,180763.21809683336,true
video,180763228744833,1000000000,180763.22919433334,true
audio,180763191158083,1000000000,180763.23939070833,true
video,180763253744708,1000000000,180763.24881166668,true
audio,180763211158083,1000000000,180763.2607150417,true
video,180763270411291,1000000000,180763.265710375,true
audio,180763231158083,1000000000,180763.28205162502,true
audio,180763251158083,1000000000,180763.28214687502,true
video,180763287077958,1000000000,180763.28238812502,true
video,180763303744500,1000000000,180763.3003016667,true
audio,180763271158083,1000000000,180763.303388625,true
video,180763320411083,1000000000,180763.31817345833,true
audio,180763291158041,1000000000,180763.32476320834,true
video,180763337077708,1000000000,180763.33520308335,true
audio,180763311158083,1000000000,180763.346074875,true
video,180763353744291,1000000000,180763.35180720835,true
audio,180763331158083,1000000000,180763.367410625,true
video,180763370410875,1000000000,180763.36907504167,true
video,180763387077458,1000000000,180763.3859775,true
audio,180763351158083,1000000000,180763.38868225002,true
video,180763403744083,1000000000,180763.40367662502,true
audio,180763371158083,1000000000,180763.41010120834,true
video,180763420410666,1000000000,180763.42062795834,true
audio,180763391158083,1000000000,180763.43140633334,true
video,180763437077250,1000000000,180763.43729525,true
audio,180763411158083,1000000000,180763.45275287502,true
video,180763462077166,1000000000,180763.45726195833,true
audio,180763431158083,1000000000,180763.4741754167,true
video,180763478743750,1000000000,180763.47434445834,true
video,180763495410333,1000000000,180763.49189562502,true
audio,180763451158083,1000000000,180763.49535033334,true
video,180763512076916,1000000000,180763.5085289167,true
audio,180763471158083,1000000000,180763.5166816667,true
video,180763528743541,1000000000,180763.5253767917,true
audio,180763491158083,1000000000,180763.5380167917,true
video,180763545410125,1000000000,180763.542197625,true
audio,180763511158041,1000000000,180763.5594320417,true
video,180763562076708,1000000000,180763.56009704169,true
video,180763578743333,1000000000,180763.57733383335,true
audio,180763531158083,1000000000,180763.58075975,true
video,180763595409916,1000000000,180763.59476583335,true
audio,180763551158083,1000000000,180763.60206650003,true
audio,180763571158041,1000000000,180763.60209104168,true
video,180763603743250,1000000000,180763.61224566668,true
audio,180763591158083,1000000000,180763.62338345835,true
video,180763628743083,1000000000,180763.62902491668,true
audio,180763611158083,1000000000,180763.64469645833,true
video,180763645409625,1000000000,180763.6466156667,true
video,180763670409500,1000000000,180763.66460062502,true
audio,180763631158083,1000000000,180763.66596575,true
video,180763687076125,1000000000,180763.68260570834,true
audio,180763651158083,1000000000,180763.68734225002,true
video,180763703742750,1000000000,180763.69984866667,true
audio,180763671158083,1000000000,180763.70877870836,true
video,180763720409375,1000000000,180763.716901625,true
audio,180763691158083,1000000000,180763.73003583335,true
video,180763737075958,1000000000,180763.734486625,true
audio,180763711158083,1000000000,180763.75141366667,true
video,180763753742541,1000000000,180763.75156575002,true
video,180763770409125,1000000000,180763.76919058335,true
audio,180763731158083,1000000000,180763.772908125,true
video,180763787075750,1000000000,180763.78629350002,true
audio,180763751158083,1000000000,180763.79405791668,true
video,180763803742375,1000000000,180763.803919625,true
audio,180763771158083,1000000000,180763.81538458334,true
video,180763820408958,1000000000,180763.82058987502,true
audio,180763791158041,1000000000,180763.83675858335,true
video,180763845408833,1000000000,180763.8407320417,true
audio,180763811158083,1000000000,180763.8474915,true
video,180763862075458,1000000000,180763.85864000002,true
audio,180763831158083,1000000000,180763.86877195834,true
video,180763878742000,1000000000,180763.8757472917,true
audio,180763851158083,1000000000,180763.89013633336,true
video,180763895408583,1000000000,180763.89283916669,true
video,180763912075208,1000000000,180763.9108155,true
audio,180763871158083,1000000000,180763.9113375,true
video,180763928741791,1000000000,180763.92791083336,true
audio,180763891158083,1000000000,180763.932748875,true
video,180763945408375,1000000000,180763.94561625,true
audio,180763911158083,1000000000,180763.9540052917,true
audio,180763931158083,1000000000,180763.95404487502,true
video,180763970408291,1000000000,180763.96562179166,true
audio,180763951158083,1000000000,180763.9753794167,true
video,180763987074875,1000000000,180763.98342920834,true
audio,180763971158083,1000000000,180763.99671508334,true
video,180764003741458,1000000000,180764.00026045836,true
video,180764020408041,1000000000,180764.01773816667,true
audio,180763991158083,1000000000,180764.01800137502,true
video,180764037074666,1000000000,180764.0351200417,true
audio,180764011158041,1000000000,180764.03938708335,true
video,180764053741250,1000000000,180764.05215729168,true
audio,180764031158083,1000000000,180764.06068183333,true
video,180764070407833,1000000000,180764.06948983335,true
audio,180764051158083,1000000000,180764.08203870835,true
video,180764087074458,1000000000,180764.08637354168,true
video,180764103741041,1000000000,180764.10316416668,true
audio,180764071158041,1000000000,180764.10330762502,true
video,180764120407708,1000000000,180764.12032616668,true
audio,180764091158083,1000000000,180764.12472933336,true
video,180764137074250,1000000000,180764.136864,true
audio,180764111158083,1000000000,180764.146041125,true
video,180764153740833,1000000000,180764.153847125,true
audio,180764131158083,1000000000,180764.16737170835,true
video,180764170407416,1000000000,180764.17065037502,true
audio,180764151158083,1000000000,180764.18868295834,true
video,180764195407291,1000000000,180764.19049845834,true
video,180764212073875,1000000000,180764.20737525,true
audio,180764171158083,1000000000,180764.21003054167,true
video,180764228740458,1000000000,180764.224154375,true
audio,180764191158083,1000000000,180764.231406125,true
video,180764245407083,1000000000,180764.24077616667,true
audio,180764211158083,1000000000,180764.2527647917,true
video,180764262073666,1000000000,180764.25876066668,true
audio,180764231158083,1000000000,180764.27405033333,true
audio,180764251158083,1000000000,180764.27410625,true
video,180764278740333,1000000000,180764.27639358334,true
video,180764295406875,1000000000,180764.29329266667,true
audio,180764271158083,1000000000,180764.2954,true
video,180764312073458,1000000000,180764.31112295834,true
audio,180764291158041,1000000000,180764.31674520834,true
video,180764328740041,1000000000,180764.32844291668,true
audio,180764311158083,1000000000,180764.33804545834,true
video,180764345406625,1000000000,180764.34521645834,true
audio,180764331158083,1000000000,180764.35941029168,true
video,180764362073208,1000000000,180764.36229079167,true
audio,180764351158083,1000000000,180764.38073204167,true
video,180764387073166,1000000000,180764.38247533335,true
video,180764403739750,1000000000,180764.40018358335,true
audio,180764371158083,1000000000,180764.40200366668,true
video,180764420406333,1000000000,180764.41694395835,true
audio,180764391158083,1000000000,180764.4234055,true
video,180764437072916,1000000000,180764.433971875,true
audio,180764411158083,1000000000,180764.44472870833,true
video,180764453739583,1000000000,180764.45100279167,true
audio,180764431158083,1000000000,180764.46603845834,true
video,180764470406125,1000000000,180764.46824395834,true
video,180764487072708,1000000000,180764.485489,true
audio,180764451158083,1000000000,180764.48734870835,true
video,180764503739291,1000000000,180764.50249495835,true
audio,180764471158083,1000000000,180764.508764375,true
video,180764520405875,1000000000,180764.52014258335,true
audio,180764491158083,1000000000,180764.53004100002,true
video,180764537072500,1000000000,180764.53714020835,true
audio,180764511158041,1000000000,180764.55136058334,true
video,180764553739083,1000000000,180764.55412075002,true
audio,180764531158083,1000000000,180764.57279591667,true
video,180764578739000,1000000000,180764.57429050002,true
video,180764595405583,1000000000,180764.59142154167,true
audio,180764551158083,1000000000,180764.59402175,true
audio,180764571158041,1000000000,180764.59406,true
video,180764603738875,1000000000,180764.6091281667,true
audio,180764591158083,1000000000,180764.6153694167,true
video,180764628738708,1000000000,180764.62588583335,true
audio,180764611158083,1000000000,180764.63668095836,true
video,180764645405333,1000000000,180764.64369520833,true
audio,180764631158083,1000000000,180764.65803233333,true
video,180764662071958,1000000000,180764.66055495833,true
video,180764678738541,1000000000,180764.67773029167,true
audio,180764651158083,1000000000,180764.67936875002,true
video,180764687071833,1000000000,180764.69575358334,true
audio,180764671158083,1000000000,180764.70075750002,true
video,180764712071708,1000000000,180764.71241191667,true
audio,180764691158083,1000000000,180764.72204341667,true
video,180764728738333,1000000000,180764.72911866667,true
audio,180764711158083,1000000000,180764.74335675,true
video,180764753738208,1000000000,180764.75056179168,true
audio,180764731158083,1000000000,180764.76471191668,true
video,180764770404791,1000000000,180764.76746191666,true
video,180764787071416,1000000000,180764.784848125,true
audio,180764751158083,1000000000,180764.7860099167,true
video,180764803737958,1000000000,180764.80252066668,true
audio,180764771158083,1000000000,180764.80741004169,true
video,180764820404541,1000000000,180764.81929429166,true
audio,180764791158041,1000000000,180764.8287445,true
video,180764837071166,1000000000,180764.83649558335,true
audio,180764811158083,1000000000,180764.85004725002,true
video,180764853737750,1000000000,180764.85354558335,true
video,180764870404333,1000000000,180764.870701625,true
audio,180764831158083,1000000000,180764.87131625,true
video,180764887070958,1000000000,180764.88723904168,true
audio,180764851158083,1000000000,180764.89267058336,true
video,180764912070916,1000000000,180764.90730541668,true
audio,180764871158083,1000000000,180764.914008625,true
video,180764928737458,1000000000,180764.92397533334,true
audio,180764891158083,1000000000,180764.93536287503,true
video,180764945404083,1000000000,180764.94084645834,true
audio,180764911158083,1000000000,180764.95671004168,true
audio,180764931158083,1000000000,180764.95675220835,true
video,180764962070666,1000000000,180764.9583515,true
video,180764978737250,1000000000,180764.97535516668,true
audio,180764951158083,1000000000,180764.978005,true
video,180764995403833,1000000000,180764.99301004168,true
audio,180764971158083,1000000000,180764.99940533334,true
video,180765012070416,1000000000,180765.00988854168,true
audio,180764991158083,1000000000,180765.02075854168,true
video,180765028737041,1000000000,180765.02782216668,true
audio,180765011158041,1000000000,180765.0420405,true
video,180765045403625,1000000000,180765.04555091666,true
video,180765062070208,1000000000,180765.06224404168,true
audio,180765031158083,1000000000,180765.06338633335,true
video,180765078736833,1000000000,180765.079001375,true
audio,180765051158083,1000000000,180765.08472025002,true
video,180765103736750,1000000000,180765.09894458335,true
audio,180765071158041,1000000000,180765.1060465,true
video,180765120403291,1000000000,180765.11560108335,true
audio,180765091158083,1000000000,180765.12738333334,true
video,180765137069875,1000000000,180765.13253662502,true
audio,180765111158083,1000000000,180765.14871958335,true
video,180765153736500,1000000000,180765.15017291668,true
video,180765170403083,1000000000,180765.16699470836,true
audio,180765131158083,1000000000,180765.16998845834,true
video,180765187069708,1000000000,180765.18485437502,true
audio,180765151158083,1000000000,180765.19146733335,true
video,180765203736291,1000000000,180765.20143845835,true
audio,180765171158083,1000000000,180765.2128161667,true
video,180765220402875,1000000000,180765.21921091666,true
audio,180765191158083,1000000000,180765.23406075002,true
video,180765237069458,1000000000,180765.23609075,true
video,180765253736083,1000000000,180765.25356308333,true
