type,pts_value,pts_timescale,host_seconds,appended
video,180590654546125,1000000000,180590.664904875,true
audio,180590655995458,1000000000,180590.680093,true
video,180590687879375,1000000000,180590.68530483334,true
audio,180590675995458,1000000000,180590.69894441668,true
video,180590704545958,1000000000,180590.70176025,true
video,180590721212583,1000000000,180590.71916225002,true
audio,180590695995458,1000000000,180590.72019208333,true
video,180590737879166,1000000000,180590.73573991668,true
audio,180590715995416,1000000000,180590.74163333335,true
video,180590754545750,1000000000,180590.752899,true
audio,180590735995458,1000000000,180590.76290608334,true
video,180590771212333,1000000000,180590.77005116668,true
audio,180590755995458,1000000000,180590.78421591668,true
video,180590787878958,1000000000,180590.78773487502,true
video,180590804545541,1000000000,180590.8046316667,true
audio,180590775995416,1000000000,180590.80554833333,true
video,180590821212125,1000000000,180590.8212692917,true
audio,180590795995458,1000000000,180590.82697416667,true
video,180590837878708,1000000000,180590.8379912917,true
audio,180590815995458,1000000000,180590.84823170834,true
video,180590862878625,1000000000,180590.85758525002,true
audio,180590835995458,1000000000,180590.86957958335,true
video,180590879545208,1000000000,180590.87593425,true
audio,180590855995458,1000000000,180590.8908861667,true
video,180590896211791,1000000000,180590.89257158333,true
video,180590912878416,1000000000,180590.9104520417,true
audio,180590875995458,1000000000,180590.91219679167,true
video,180590929545041,1000000000,180590.92717450002,true
audio,180590895995458,1000000000,180590.9336285,true
video,180590946211583,1000000000,180590.94384362502,true
audio,180590915995458,1000000000,180590.9549226667,true
video,180590962878166,1000000000,180590.96165666668,true
audio,180590935995458,1000000000,180590.97624358334,true
audio,180590955995458,1000000000,180590.97629054167,true
video,180590979544791,1000000000,180590.978421125,true
video,180590996211375,1000000000,180590.99596366668,true
audio,180590975995458,1000000000,180590.99755216666,true
video,180591012877958,1000000000,180591.01297658336,true
audio,180590995995416,1000000000,180591.01886408334,true
video,180591029544583,1000000000,180591.02964575,true
audio,180591015995458,1000000000,180591.0402585,true
video,180591046211125,1000000000,180591.046308875,true
audio,180591035995458,1000000000,180591.06156841668,true
video,180591062877708,1000000000,180591.06321300002,true
video,180591079544291,1000000000,180591.07970091669,true
audio,180591055995416,1000000000,180591.08288195834,true
video,180591104544250,1000000000,180591.0992821667,true
audio,180591075995458,1000000000,180591.1041707917,true
video,180591121210791,1000000000,180591.11738270835,true
audio,180591095995458,1000000000,180591.12559616668,true
video,180591137877375,1000000000,180591.13427229167,true
audio,180591115995458,1000000000,180591.14685454167,true
video,180591154544000,1000000000,180591.15112595833,true
audio,180591135995458,1000000000,180591.16824445836,true
video,180591171210583,1000000000,180591.16856337502,true
video,180591187877166,1000000000,180591.18553116667,true
audio,180591155995458,1000000000,180591.18954458335,true
video,180591212877041,1000000000,180591.206237,true
audio,180591175995458,1000000000,180591.21087708336,true
video,180591229543583,1000000000,180591.22444220833,true
audio,180591195995458,1000000000,180591.23225691667,true
video,180591246210250,1000000000,180591.24381566668,true
audio,180591215995416,1000000000,180591.25361495835,true
video,180591262876833,1000000000,180591.26148870835,true
audio,180591235995458,1000000000,180591.27489170834,true
video,180591279543458,1000000000,180591.27925954168,true
video,180591296210041,1000000000,180591.29612450002,true
audio,180591255995458,1000000000,180591.29618108334,true
audio,180591275995416,1000000000,180591.29619354167,true
video,180591312876625,1000000000,180591.31326287502,true
audio,180591295995458,1000000000,180591.31762870835,true
video,180591337876500,1000000000,180591.332631125,true
audio,180591315995458,1000000000,180591.33884591667,true
video,180591354543125,1000000000,180591.3509987917,true
audio,180591335995458,1000000000,180591.36026112502,true
video,180591371209708,1000000000,180591.36834275,true
audio,180591355995458,1000000000,180591.38161283336,true
video,180591387876291,1000000000,180591.38574758335,true
video,180591404542916,1000000000,180591.40247287502,true
audio,180591375995458,1000000000,180591.40290604168,true
video,180591421209500,1000000000,180591.420131875,true
audio,180591395995458,1000000000,180591.42423375,true
video,180591437876083,1000000000,180591.43719820835,true
audio,180591415995458,1000000000,180591.44556804167,true
video,180591454542666,1000000000,180591.45418354167,true
audio,180591435995458,1000000000,180591.46700625002,true
video,180591471209250,1000000000,180591.47133691667,true
