type,pts_value,pts_timescale,host_seconds,appended
video,180219714514375,1000000000,180219.73381058333,true
video,180219731181041,1000000000,180219.73425912502,true
audio,180219714699041,1000000000,180219.73928325,true
video,180219756180875,1000000000,180219.75123108336,true
audio,180219734699041,1000000000,180219.757672875,true
video,180219772847500,1000000000,180219.76937179168,true
audio,180219754699041,1000000000,180219.77895629167,true
video,180219789514041,1000000000,180219.78777679167,true
audio,180219774699041,1000000000,180219.800189125,true
video,180219806180708,1000000000,180219.80546641667,true
audio,180219794699041,1000000000,180219.8216315,true
video,180219822847250,1000000000,180219.82249195833,true
video,180219839513875,1000000000,180219.83946620833,true
audio,180219814699041,1000000000,180219.842935875,true
video,180219856180458,1000000000,180219.85628779168,true
audio,180219834699041,1000000000,180219.86429266667,true
video,180219881180375,1000000000,180219.875615625,true
audio,180219854699000,1000000000,180219.88557008334,true
video,180219897846958,1000000000,180219.894188375,true
audio,180219874699041,1000000000,180219.9069780417,true
video,180219914513541,1000000000,180219.91193241667,true
audio,180219894699041,1000000000,180219.928327,true
video,180219931180166,1000000000,180219.92868058334,true
video,180219947846750,1000000000,180219.94615070833,true
audio,180219914699000,1000000000,180219.949582875,true
video,180219964513333,1000000000,180219.9630604167,true
audio,180219934699041,1000000000,180219.97093154167,true
video,180219981179916,1000000000,180219.97978504168,true
audio,180219954699041,1000000000,180219.99229766667,true
video,180219997846500,1000000000,180219.99760458333,true
audio,180219974699041,1000000000,180220.01362554167,true
video,180220014513125,1000000000,180220.01476479167,true
video,180220031179708,1000000000,180220.03135291667,true
audio,180219994699041,1000000000,180220.03496025002,true
audio,180220014699041,1000000000,180220.03500420833,true
video,180220056179666,1000000000,180220.050659,true
audio,180220034699041,1000000000,180220.05624991667,true
video,180220072846208,1000000000,180220.06735754167,true
audio,180220054699041,1000000000,180220.07757000002,true
video,180220089512833,1000000000,180220.085671125,true
audio,180220074699000,1000000000,180220.0989215,true
video,180220106179416,1000000000,180220.10259645834,true
audio,180220094699041,1000000000,180220.12035683336,true
video,180220122846000,1000000000,180220.12049425,true
video,180220139512625,1000000000,180220.13804804167,true
audio,180220114699041,1000000000,180220.14169858335,true
video,180220156179166,1000000000,180220.155542625,true
audio,180220134699000,1000000000,180220.16290416667,true
video,180220172845833,1000000000,180220.17289833335,true
audio,180220154699041,1000000000,180220.18436383334,true
video,180220189512375,1000000000,180220.19401504166,true
audio,180220174699041,1000000000,180220.20555645836,true
video,180220206178958,1000000000,180220.20654875002,true
video,180220231178916,1000000000,180220.226315,true
audio,180220194699041,1000000000,180220.22684420834,true
video,180220247845458,1000000000,180220.244257,true
audio,180220214699041,1000000000,180220.24819758334,true
video,180220264512000,1000000000,180220.26200575,true
audio,180220234699041,1000000000,180220.26959558335,true
video,180220281178666,1000000000,180220.278689125,true
audio,180220254699041,1000000000,180220.29087895833,true
video,180220297845291,1000000000,180220.29544991668,true
audio,180220274699041,1000000000,180220.31228370834,true
video,180220314511833,1000000000,180220.3129794167,true
video,180220331178375,1000000000,180220.33073029167,true
audio,180220294699041,1000000000,180220.33352825002,true
video,180220347845000,1000000000,180220.348206625,true
audio,180220314699041,1000000000,180220.35497204168,true
audio,180220334699041,1000000000,180220.35501020835,true
video,180220364511583,1000000000,180220.364906,true
audio,180220354699000,1000000000,180220.37630270835,true
