type,pts_value,pts_timescale,host_seconds,appended
video,180955977841291,1000000000,180955.99076095835,true
video,180955986174583,1000000000,180955.99425379166,true
audio,180955980359250,1000000000,180956.00411850002,true
video,180956011174500,1000000000,180956.01039491667,true
audio,180956000359208,1000000000,180956.02328954168,true
video,180956027841083,1000000000,180956.02728595835,true
video,180956044507666,1000000000,180956.04475745835,true
audio,180956020359250,1000000000,180956.04481758334,true
video,180956061174291,1000000000,180956.06122550002,true
audio,180956040359250,1000000000,180956.06594125,true
video,180956077840833,1000000000,180956.077916375,true
audio,180956060359208,1000000000,180956.08723329168,true
video,180956094507458,1000000000,180956.09466933334,true
audio,180956080359250,1000000000,180956.10861750002,true
video,180956119507333,1000000000,180956.11394854166,true
audio,180956100359250,1000000000,180956.12995379168,true
video,180956136173958,1000000000,180956.13098333334,true
video,180956152840541,1000000000,180956.14926070833,true
audio,180956120359250,1000000000,180956.15120687502,true
video,180956169507125,1000000000,180956.1660591667,true
audio,180956140359250,1000000000,180956.17262241666,true
video,180956186173750,1000000000,180956.1838115,true
audio,180956160359250,1000000000,180956.19393820834,true
video,180956202840333,1000000000,180956.20046454167,true
audio,180956180359250,1000000000,180956.21524404167,true
video,180956219506958,1000000000,180956.21741758334,true
video,180956236173541,1000000000,180956.23445725002,true
audio,180956200359250,1000000000,180956.23654229168,true
video,180956252840125,1000000000,180956.25192645835,true
audio,180956220359250,1000000000,180956.25791145835,true
video,180956269506791,1000000000,180956.26865145835,true
audio,180956240359250,1000000000,180956.27924237502,true
video,180956286173333,1000000000,180956.28625095834,true
audio,180956260359250,1000000000,180956.30059125,true
audio,180956280359208,1000000000,180956.30064370835,true
video,180956311173208,1000000000,180956.3056450417,true
audio,180956300359250,1000000000,180956.3219459167,true
video,180956327839750,1000000000,180956.32245225002,true
video,180956344506375,1000000000,180956.34065170833,true
audio,180956320359250,1000000000,180956.343204875,true
video,180956361173000,1000000000,180956.35757516668,true
audio,180956340359208,1000000000,180956.36462920834,true
video,180956377839541,1000000000,180956.374420375,true
audio,180956360359250,1000000000,180956.38595737502,true
video,180956394506166,1000000000,180956.39116620834,true
audio,180956380359250,1000000000,180956.407293625,true
video,180956411172791,1000000000,180956.40805766667,true
video,180956427839333,1000000000,180956.425484625,true
audio,180956400359250,1000000000,180956.42858795833,true
video,180956444505958,1000000000,180956.44245795836,true
audio,180956420359250,1000000000,180956.4499375,true
video,180956461172583,1000000000,180956.45946170835,true
audio,180956440359250,1000000000,180956.47128020835,true
video,180956477839166,1000000000,180956.47695083334,true
audio,180956460359250,1000000000,180956.49259641668,true
video,180956494505750,1000000000,180956.494463,true
video,180956511172375,1000000000,180956.51150766667,true
audio,180956480359250,1000000000,180956.51394175002,true
video,180956536172208,1000000000,180956.530948625,true
audio,180956500359208,1000000000,180956.53527070835,true
video,180956552838833,1000000000,180956.54793645834,true
audio,180956520359250,1000000000,180956.55657795834,true
video,180956569505416,1000000000,180956.56611504167,true
audio,180956540359250,1000000000,180956.57790108334,true
video,180956586172041,1000000000,180956.58285562502,true
audio,180956560359208,1000000000,180956.59923733334,true
video,180956602838625,1000000000,180956.60049891667,true
video,180956619505208,1000000000,180956.61839387502,true
audio,180956580359250,1000000000,180956.62052033335,true
audio,180956600359250,1000000000,180956.620543,true
video,180956636171875,1000000000,180956.63532325,true
audio,180956620359250,1000000000,180956.641906125,true
video,180956652838416,1000000000,180956.6531175417,true
audio,180956640359250,1000000000,180956.66320958335,true
video,180956669505000,1000000000,180956.669831125,true
audio,180956660359250,1000000000,180956.684625875,true
video,180956694504916,1000000000,180956.6894129167,true
audio,180956680359250,1000000000,180956.70589075002,true
video,180956711171500,1000000000,180956.70811950002,true
video,180956727838083,1000000000,180956.7262495,true
audio,180956700359250,1000000000,180956.72716704168,true
video,180956744504666,1000000000,180956.74369583334,true
audio,180956720359250,1000000000,180956.74858400002,true
video,180956761171333,1000000000,180956.76119779167,true
audio,180956740359250,1000000000,180956.76984670834,true
video,180956777837875,1000000000,180956.777895625,true
audio,180956760359250,1000000000,180956.79128683335,true
video,180956802837750,1000000000,180956.79760908335,true
audio,180956780359208,1000000000,180956.81263704167,true
video,180956819504416,1000000000,180956.81472729167,true
video,180956836171000,1000000000,180956.832448375,true
audio,180956800359250,1000000000,180956.8339899167,true
video,180956852837583,1000000000,180956.849239375,true
audio,180956820359250,1000000000,180956.855266625,true
video,180956869504166,1000000000,180956.86649883335,true
audio,180956840359208,1000000000,180956.87659250002,true
video,180956886170750,1000000000,180956.88339704167,true
audio,180956860359250,1000000000,180956.8979191667,true
video,180956902837291,1000000000,180956.90036304167,true
video,180956919503916,1000000000,180956.91806508336,true
audio,180956880359250,1000000000,180956.91917733336,true
video,180956936170541,1000000000,180956.93563341667,true
audio,180956900359250,1000000000,180956.94058083335,true
audio,180956920359250,1000000000,180956.94062258335,true
video,180956952837083,1000000000,180956.95240266668,true
audio,180956940359250,1000000000,180956.96189458334,true
video,180956969503708,1000000000,180956.96968858334,true
video,180956986170291,1000000000,180956.98648750002,true
video,180957002836875,1000000000,180957.00306983336,true
audio,180956960359250,1000000000,180957.00459883336,true
video,180957027836791,1000000000,180957.02367362502,true
audio,180956980359250,1000000000,180957.02594141668,true
video,180957044503375,1000000000,180957.04152266667,true
audio,180957000359208,1000000000,180957.04736995834,true
video,180957061170041,1000000000,180957.05958733335,true
audio,180957020359250,1000000000,180957.06857637502,true
video,180957077836583,1000000000,180957.07648479167,true
audio,180957040359250,1000000000,180957.08991837502,true
video,180957094503208,1000000000,180957.09372520834,true
video,180957111169791,1000000000,180957.11051358335,true
audio,180957060359208,1000000000,180957.111217875,true
audio,180957080359250,1000000000,180957.11127308334,true
video,180957127836375,1000000000,180957.1275585,true
audio,180957100359250,1000000000,180957.1326135,true
video,180957144503000,1000000000,180957.14461787502,true
audio,180957120359250,1000000000,180957.15395504166,true
video,180957161169583,1000000000,180957.16135104166,true
audio,180957140359250,1000000000,180957.17525345835,true
video,180957177836208,1000000000,180957.17806475,true
audio,180957160359250,1000000000,180957.19665441668,true
video,180957202836041,1000000000,180957.197796625,true
video,180957219502666,1000000000,180957.21605654169,true
audio,180957180359250,1000000000,180957.21793733333,true
video,180957236169250,1000000000,180957.23368250002,true
audio,180957200359250,1000000000,180957.23932070835,true
video,180957252835833,1000000000,180957.250309375,true
audio,180957220359250,1000000000,180957.2606311667,true
video,180957269502458,1000000000,180957.267551375,true
audio,180957240359250,1000000000,180957.28197145835,true
video,180957286169083,1000000000,180957.2842905,true
video,180957302835625,1000000000,180957.30126579167,true
audio,180957260359250,1000000000,180957.30322650002,true
video,180957319502250,1000000000,180957.318455875,true
audio,180957280359208,1000000000,180957.3246294167,true
video,180957336168875,1000000000,180957.33661770835,true
audio,180957300359250,1000000000,180957.34591833333,true
video,180957352835458,1000000000,180957.35308866668,true
audio,180957320359250,1000000000,180957.36733112502,true
video,180957369502041,1000000000,180957.37007933334,true
audio,180957340359208,1000000000,180957.388676625,true
video,180957394501958,1000000000,180957.39005895835,true
video,180957411168500,1000000000,180957.40762033334,true
audio,180957360359250,1000000000,180957.40987945834,true
video,180957427835083,1000000000,180957.42447175,true
audio,180957380359250,1000000000,180957.43120475,true
audio,180957400359250,1000000000,180957.43122987502,true
video,180957444501708,1000000000,180957.44203020833,true
audio,180957420359250,1000000000,180957.45261270835,true
video,180957461168333,1000000000,180957.459651,true
audio,180957440359250,1000000000,180957.4739079167,true
video,180957477834875,1000000000,180957.47687137502,true
video,180957494501458,1000000000,180957.49374987502,true
audio,180957460359250,1000000000,180957.495322,true
video,180957511168083,1000000000,180957.51143054166,true
audio,180957480359250,1000000000,180957.51660704167,true
video,180957519501375,1000000000,180957.52830183334,true
audio,180957500359208,1000000000,180957.53793208333,true
video,180957544501208,1000000000,180957.54579187502,true
audio,180957520359250,1000000000,180957.55923629168,true
video,180957561167875,1000000000,180957.56314770834,true
video,180957586167666,1000000000,180957.58060841667,true
audio,180957540359250,1000000000,180957.58066020833,true
video,180957602834375,1000000000,180957.59736991668,true
audio,180957560359208,1000000000,180957.601898875,true
video,180957619500916,1000000000,180957.61500570836,true
audio,180957580359250,1000000000,180957.6232315417,true
video,180957636167541,1000000000,180957.63283758334,true
audio,180957600359250,1000000000,180957.64458591669,true
video,180957652834125,1000000000,180957.649475,true
audio,180957620359250,1000000000,180957.66590020835,true
video,180957661167375,1000000000,180957.66708575,true
video,180957677834000,1000000000,180957.6851395,true
audio,180957640359250,1000000000,180957.6872245,true
video,180957694500625,1000000000,180957.70174820835,true
audio,180957660359250,1000000000,180957.708571375,true
video,180957719500541,1000000000,180957.71860608333,true
audio,180957680359250,1000000000,180957.729911,true
video,180957736167125,1000000000,180957.73527975002,true
audio,180957700359250,1000000000,180957.75128783335,true
audio,180957720359250,1000000000,180957.75133754167,true
video,180957752833708,1000000000,180957.75198683335,true
video,180957769500333,1000000000,180957.769198625,true
audio,180957740359250,1000000000,180957.77254745836,true
video,180957786166916,1000000000,180957.78651550002,true
audio,180957760359250,1000000000,180957.79392741667,true
video,180957802833500,1000000000,180957.80319920834,true
audio,180957780359208,1000000000,180957.81523520834,true
video,180957827833416,1000000000,180957.82440233335,true
audio,180957800359250,1000000000,180957.83663075,true
video,180957844500000,1000000000,180957.84223475002,true
audio,180957820359250,1000000000,180957.85796225,true
video,180957861166583,1000000000,180957.85940333334,true
video,180957877833208,1000000000,180957.87661016668,true
audio,180957840359208,1000000000,180957.87926533335,true
video,180957894499791,1000000000,180957.89363887502,true
audio,180957860359250,1000000000,180957.90057650002,true
video,180957911166375,1000000000,180957.91071233334,true
audio,180957880359250,1000000000,180957.92199962502,true
video,180957927833000,1000000000,180957.92811408333,true
audio,180957900359250,1000000000,180957.94332591668,true
video,180957944499583,1000000000,180957.94476291668,true
video,180957969499458,1000000000,180957.96454454167,true
audio,180957920359250,1000000000,180957.96459870835,true
video,180957986166083,1000000000,180957.98252025002,true
audio,180957940359250,1000000000,180957.98592808333,true
audio,180957960359250,1000000000,180957.99662245833,true
video,180958002832625,1000000000,180957.99960087502,true
video,180958019499250,1000000000,180958.01724383334,true
audio,180957980359250,1000000000,180958.01794016667,true
video,180958036165875,1000000000,180958.03423966668,true
audio,180958000359208,1000000000,180958.039280125,true
video,180958052832416,1000000000,180958.05119291667,true
audio,180958020359250,1000000000,180958.06059283335,true
video,180958069499000,1000000000,180958.06815795833,true
audio,180958040359250,1000000000,180958.08196354168,true
video,180958086165625,1000000000,180958.0860381667,true
video,180958102832208,1000000000,180958.102923875,true
audio,180958060359208,1000000000,180958.10315866666,true
audio,180958080359250,1000000000,180958.103184875,true
video,180958119498833,1000000000,180958.119901125,true
audio,180958100359250,1000000000,180958.12467808335,true
video,180958136165416,1000000000,180958.136628,true
audio,180958120359250,1000000000,180958.14585866668,true
video,180958144498708,1000000000,180958.15336083336,true
audio,180958140359250,1000000000,180958.1672885,true
video,180958177831875,1000000000,180958.17288233334,true
audio,180958160359250,1000000000,180958.18864383333,true
video,180958194498500,1000000000,180958.190454125,true
video,180958211165166,1000000000,180958.207272375,true
audio,180958180359250,1000000000,180958.2099262917,true
video,180958227831708,1000000000,180958.22435316668,true
audio,180958200359250,1000000000,180958.23130770834,true
video,180958244498291,1000000000,180958.24142420833,true
audio,180958220359250,1000000000,180958.25256308334,true
video,180958261164916,1000000000,180958.25897904168,true
audio,180958240359250,1000000000,180958.273960875,true
video,180958277831500,1000000000,180958.275652125,true
video,180958294498083,1000000000,180958.29258525002,true
audio,180958260359250,1000000000,180958.2952255,true
video,180958311164750,1000000000,180958.30916225002,true
audio,180958280359208,1000000000,180958.31662004167,true
video,180958327831291,1000000000,180958.327047125,true
audio,180958300359250,1000000000,180958.33792829167,true
video,180958344497916,1000000000,180958.34429175002,true
audio,180958320359250,1000000000,180958.35931262502,true
video,180958361164458,1000000000,180958.36149533335,true
audio,180958340359208,1000000000,180958.38073316668,true
video,180958386164375,1000000000,180958.38204529168,true
video,180958402830958,1000000000,180958.40006170835,true
audio,180958360359250,1000000000,180958.40191183335,true
video,180958419497541,1000000000,180958.41675041668,true
audio,180958380359250,1000000000,180958.42335070836,true
audio,180958400359250,1000000000,180958.42341020834,true
video,180958436164166,1000000000,180958.43357675002,true
audio,180958420359250,1000000000,180958.444693875,true
video,180958452830750,1000000000,180958.450705625,true
audio,180958440359250,1000000000,180958.46596833333,true
video,180958469497416,1000000000,180958.4679835,true
video,180958486163958,1000000000,180958.48568704168,true
audio,180958460359250,1000000000,180958.4872626667,true
video,180958502830500,1000000000,180958.50246604168,true
audio,180958480359250,1000000000,180958.50855779168,true
video,180958519497125,1000000000,180958.51948762502,true
audio,180958500359208,1000000000,180958.52995775,true
video,180958536163708,1000000000,180958.536404,true
audio,180958520359250,1000000000,180958.55128483335,true
video,180958561163625,1000000000,180958.5567297917,true
audio,180958540359250,1000000000,180958.57262833335,true
video,180958577830208,1000000000,180958.573237875,true
video,180958594496791,1000000000,180958.59140220835,true
audio,180958560359208,1000000000,180958.59404304167,true
video,180958611163375,1000000000,180958.60844895834,true
audio,180958580359250,1000000000,180958.615266625,true
video,180958627829958,1000000000,180958.625708375,true
audio,180958600359250,1000000000,180958.63655312502,true
video,180958644496583,1000000000,180958.64259120834,true
audio,180958620359250,1000000000,180958.65793770834,true
video,180958661163166,1000000000,180958.66034283335,true
video,180958677829750,1000000000,180958.67753558335,true
audio,180958640359250,1000000000,180958.67927683334,true
video,180958694496375,1000000000,180958.69473470835,true
audio,180958660359250,1000000000,180958.7005997917,true
video,180958719496291,1000000000,180958.71474154168,true
audio,180958680359250,1000000000,180958.721972125,true
video,180958736162875,1000000000,180958.73175875001,true
audio,180958700359250,1000000000,180958.74335379168,true
audio,180958720359250,1000000000,180958.74342375,true
video,180958752829458,1000000000,180958.748288625,true
audio,180958740359250,1000000000,180958.76465350002,true
video,180958769496083,1000000000,180958.76652783336,true
video,180958786162666,1000000000,180958.78429604167,true
audio,180958760359250,1000000000,180958.78586108334,true
video,180958802829250,1000000000,180958.80204291668,true
audio,180958780359208,1000000000,180958.8073456667,true
video,180958819495875,1000000000,180958.81963595835,true
audio,180958800359250,1000000000,180958.82861983334,true
video,180958836162458,1000000000,180958.8363401667,true
audio,180958820359250,1000000000,180958.84990454168,true
video,180958852829041,1000000000,180958.85320704168,true
video,180958869495625,1000000000,180958.86991591667,true
audio,180958840359208,1000000000,180958.87117970834,true
video,180958894495541,1000000000,180958.88943841666,true
audio,180958860359250,1000000000,180958.8925722917,true
video,180958911162125,1000000000,180958.90784629167,true
audio,180958880359250,1000000000,180958.913911375,true
