type,pts_value,pts_timescale,host_seconds,appended
video,180972794439125,1000000000,180972.80513808335,true
video,180972802772500,1000000000,180972.80956104168,true
audio,180972796285125,1000000000,180972.820255625,true
video,180972827772333,1000000000,180972.82674437502,true
audio,180972816285125,1000000000,180972.83919991666,true
video,180972844438916,1000000000,180972.84339154168,true
audio,180972836285083,1000000000,180972.86050933335,true
video,180972861105500,1000000000,180972.8609625417,true
video,180972877772166,1000000000,180972.877692375,true
audio,180972856285125,1000000000,180972.88175858333,true
video,180972894438750,1000000000,180972.89457608334,true
audio,180972876285125,1000000000,180972.90309583335,true
video,180972919438625,1000000000,180972.91393279168,true
audio,180972896285083,1000000000,180972.92453675,true
video,180972936105250,1000000000,180972.93067404168,true
audio,180972916285125,1000000000,180972.9458569167,true
video,180972952771833,1000000000,180972.949100875,true
video,180972969438458,1000000000,180972.96684879166,true
audio,180972936285125,1000000000,180972.96715395834,true
video,180972986105041,1000000000,180972.98373433333,true
audio,180972956285125,1000000000,180972.98850170834,true
video,180973002771666,1000000000,180973.001361875,true
audio,180972976285125,1000000000,180973.00983333334,true
video,180973019438250,1000000000,180973.01885625,true
audio,180972996285125,1000000000,180973.03120129168,true
video,180973036104833,1000000000,180973.03557654168,true
video,180973052771458,1000000000,180973.05237545836,true
audio,180973016285125,1000000000,180973.05250341666,true
video,180973069438041,1000000000,180973.06939966668,true
audio,180973036285125,1000000000,180973.07383204167,true
video,180973086104666,1000000000,180973.08620870835,true
audio,180973056285083,1000000000,180973.09516683334,true
video,180973111104541,1000000000,180973.10573845834,true
audio,180973076285125,1000000000,180973.1164862917,true
audio,180973096285125,1000000000,180973.11653312502,true
video,180973127771166,1000000000,180973.12414925,true
audio,180973116285083,1000000000,180973.13786737502,true
video,180973144437750,1000000000,180973.14180716668,true
video,180973161104375,1000000000,180973.15873633334,true
audio,180973136285125,1000000000,180973.15915558336,true
video,180973177770916,1000000000,180973.17601733335,true
audio,180973156285125,1000000000,180973.1805416667,true
video,180973194437500,1000000000,180973.1930935417,true
audio,180973176285125,1000000000,180973.2018726667,true
video,180973211104125,1000000000,180973.21085825,true
audio,180973196285125,1000000000,180973.2231237917,true
video,180973227770708,1000000000,180973.2273707917,true
audio,180973216285125,1000000000,180973.24446895835,true
video,180973244437291,1000000000,180973.24471695835,true
video,180973269437166,1000000000,180973.26401345833,true
audio,180973236285125,1000000000,180973.26583062502,true
video,180973286103833,1000000000,180973.2818787917,true
audio,180973256285125,1000000000,180973.28718854167,true
video,180973302770458,1000000000,180973.29920308336,true
audio,180973276285125,1000000000,180973.30853991667,true
video,180973319437041,1000000000,180973.31692370833,true
audio,180973296285125,1000000000,180973.32979904168,true
video,180973336103625,1000000000,180973.33402483334,true
audio,180973316285125,1000000000,180973.35121495835,true
video,180973352770208,1000000000,180973.35136829168,true
video,180973369436791,1000000000,180973.36834566668,true
audio,180973336285083,1000000000,180973.37250595834,true
video,180973386103500,1000000000,180973.38621025,true
audio,180973356285125,1000000000,180973.3938595,true
video,180973402770041,1000000000,180973.4028999167,true
audio,180973376285125,1000000000,180973.41520575,true
video,180973419436625,1000000000,180973.41967958334,true
audio,180973396285083,1000000000,180973.43652820835,true
audio,180973416285125,1000000000,180973.43656200002,true
video,180973444436583,1000000000,180973.43907975,true
video,180973461103125,1000000000,180973.45696475002,true
audio,180973436285125,1000000000,180973.45784054167,true
video,180973477769750,1000000000,180973.47440416669,true
audio,180973456285125,1000000000,180973.479125125,true
video,180973494436333,1000000000,180973.491430375,true
audio,180973476285125,1000000000,180973.500531,true
video,180973511102958,1000000000,180973.50868441668,true
audio,180973496285125,1000000000,180973.52180275,true
video,180973527769541,1000000000,180973.5255569167,true
audio,180973516285125,1000000000,180973.54311533333,true
audio,180973536285125,1000000000,180973.56444633333,true
audio,180973556285083,1000000000,180973.58584991668,true
audio,180973576285125,1000000000,180973.60723804167,true
video,180973619435875,1000000000,180973.61582875001,true
